년월일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
2020-01-01 01:00,-5.9,,1.7,40,
2020-01-01 02:00,-5.7,,0.1,42,
2020-01-01 03:00,-5.6,0.0,0.0,46,
2020-01-01 04:00,-5.4,,0.0,50,
2020-01-01 05:00,-5.2,,0.0,55,
2020-01-01 06:00,-4.8,0.0,1.9,58,
2020-01-01 07:00,-4.6,,2.1,62,
2020-01-01 08:00,-4.6,,1.8,64,
2020-01-01 09:00,-4.3,0.0,2.3,70,
2020-01-01 10:00,-4.2,,1.9,76,
2020-01-01 11:00,-3.4,,1.5,75,0.0
2020-01-01 12:00,-2.2,0.1,1.7,72,
2020-01-01 13:00,-1.0,,1.6,67,
2020-01-01 14:00,-0.4,,1.2,65,
2020-01-01 15:00,0.3,,0.0,62,
2020-01-01 16:00,0.3,,0.0,64,
2020-01-01 17:00,0.2,,0.9,65,
2020-01-01 18:00,0.1,,0.8,66,
2020-01-01 19:00,0.1,,0.3,65,
2020-01-01 20:00,0.0,,1.7,67,
2020-01-01 21:00,-0.4,,2.5,71,
2020-01-01 22:00,-0.9,,1.5,71,
2020-01-01 23:00,-0.9,,1.0,70,
2020-01-02 00:00,-0.7,,2.1,70,
