순위,모델,판매량,점유율(%),이미지_url
1,쏘렌토,58182,,https://autoimg.danawa.com/photo/brand/307_40.png
2,카니발,49680,,https://autoimg.danawa.com/photo/brand/307_40.png
3,아반떼,44793,,https://autoimg.danawa.com/photo/brand/303_40.png
4,스포티지,43517,,https://autoimg.danawa.com/photo/brand/307_40.png
5,그랜저,38067,,https://autoimg.danawa.com/photo/brand/303_40.png
6,싼타페,36506,,https://autoimg.danawa.com/photo/brand/303_40.png
7,디 올 뉴 팰리세이드,35633,,https://autoimg.danawa.com/photo/brand/303_40.png
8,셀토스,33836,,https://autoimg.danawa.com/photo/brand/307_40.png
9,투싼,30682,,https://autoimg.danawa.com/photo/brand/303_40.png
10,쏘나타 디 엣지,29159,,https://autoimg.danawa.com/photo/brand/303_40.png
