년월,담배 등 기타,생활용품,음료 등 가공,잡화,즉석(신선일부),평균기온(℃),강수량(mm)
2014.01,-4.1,0.4,-2.2,15.9,-4.5,0.2,10.3
2014.02,-7.6,-8.9,-6.9,-8.9,-13.2,2.3,26.9
2014.03,16.5,20.3,20.8,-12.8,17.8,7.5,77.1
2014.04,0.2,-1.0,-0.1,-7.1,5.0,13.1,84.4
2014.05,5.8,6.2,13.2,18.9,0.7,18.2,59.9
2014.06,-1.3,1.0,0.5,-12.2,1.9,21.6,80.7
2014.07,4.1,9.6,2.8,3.7,4.4,24.8,154.8
2014.08,0.7,8.8,-0.3,13.7,3.2,23.6,373.1
2014.09,3.9,-8.0,0.3,10.4,-1.8,20.6,119.4
2014.10,-2.9,-6.3,-3.5,-30.2,1.5,14.5,120.8
2014.11,-5.7,25.1,-5.3,-41.4,-7.9,8.5,55.9
2014.12,36.0,0.6,-6.7,1.4,-2.6,-0.9,25.5
2015.01,-31.2,-10.1,-3.7,0.0,-6.8,0.2,26.1
2015.02,-5.6,4.9,-2.7,69.4,-7.1,1.7,25.4
2015.03,58.8,10.8,18.5,-41.6,20.5,6.5,41.7
2015.04,5.0,5.8,3.4,-6.6,8.5,12.5,128.7
2015.05,9.4,5.8,16.1,19.1,7.2,18.4,57.6
2015.06,1.3,-5.0,-5.6,-23.3,1.0,21.5,96.0
2015.07,5.9,4.2,5.7,12.6,4.3,24.2,181.5
2015.08,0.6,2.3,6.9,37.9,-1.4,25.0,113.4
2015.09,-2.1,3.3,-2.7,-17.8,9.2,20.2,56.0
2015.10,2.4,-2.1,-3.2,-10.6,-2.8,14.7,67.0
2015.11,-6.3,2.0,-9.0,-2.2,-8.5,9.8,125.7
2015.12,1.4,-6.0,-2.4,14.3,3.6,3.2,40.6
2016.01,-1.0,-12.1,-5.7,9.3,6.5,-1.3,24.6
2016.02,-9.2,0.6,-3.1,23.4,4.5,1.4,46.7
2016.03,3.6,5.2,9.8,-9.5,13.5,6.9,57.0
2016.04,12.5,7.3,15.6,-31.9,20.1,13.6,159.5
2016.05,6.5,16.8,16.3,16.4,15.4,18.4,98.7
2016.06,5.3,0.6,11.5,1.4,10.4,22.2,66.8
2016.07,3.1,3.7,5.1,-12.0,8.3,25.2,309.7
2016.08,3.9,6.9,10.8,12.9,13.8,26.5,78.2
2016.09,-1.8,-0.9,3.8,9.4,6.1,21.4,206.2
2016.10,0.0,2.1,-5.6,1.3,-1.1,15.5,144.1
2016.11,-4.2,-4.8,-10.9,-8.4,-7.4,7.5,32.5
2016.12,-6.3,-3.2,-10.9,8.2,-10.2,2.7,65.0
2017.01,-4.6,-2.3,-4.4,18.9,-5.2,-0.3,14.4
2017.02,-12.5,-15.0,-8.5,0.8,-11.4,1.4,30.6
2017.03,4.6,2.6,8.9,0.0,8.4,6.0,23.9
2017.04,15.3,19.0,22.6,-1.8,25.8,13.6,71.0
2017.05,8.1,5.8,14.2,11.3,9.1,18.5,30.0
2017.06,7.1,1.0,10.0,-0.2,6.1,21.6,59.7
2017.07,4.5,13.9,4.4,-12.2,6.2,26.2,313.5
2017.08,6.0,12.0,5.2,-4.1,7.6,25.2,239.5
2017.09,3.6,-10.1,1.7,-5.4,7.2,20.3,99.3
2017.10,0.6,-1.3,-2.2,-5.9,-3.1,15.1,65.5
2017.11,-5.9,-1.5,-12.8,-8.0,-8.9,6.5,13.1
2017.12,-5.2,-5.3,-12.6,7.6,-6.6,-0.5,22.0
2018.01,-2.4,-6.1,-6.3,1.1,-6.2,-2.4,21.3
2018.02,-10.2,-9.6,-6.5,3.0,-11.4,-0.5,31.9
2018.03,8.0,11.3,13.1,12.5,9.2,7.9,112.3
2018.04,16.5,11.5,15.8,-5.5,25.3,13.1,137.1
2018.05,4.4,8.3,8.4,13.2,7.8,17.7,134.1
2018.06,4.7,3.3,14.0,7.9,5.2,22.1,137.5
2018.07,1.9,-4.2,7.9,-11.9,4.4,26.6,178.9
2018.08,1.9,5.0,4.9,3.7,6.5,27.1,304.3
2018.09,-3.3,6.7,-1.4,4.7,3.6,20.2,143.7
2018.10,-0.7,-1.3,-10.1,-1.7,0.8,12.7,157.8
2018.11,-4.1,-9.3,-11.6,-8.7,-6.9,7.7,49.8
2018.12,-7.3,-3.4,-9.3,-3.0,-10.7,0.8,28.4
2019.01,-1.8,-0.8,-5.9,-1.9,-10.4,-0.1,8.0
2019.02,-10.1,-8.4,-6.7,-0.1,-20.6,2.1,32.2
2019.03,3.7,11.3,9.1,10.5,6.1,7.2,39.4
2019.04,14.7,12.6,15.3,-2.7,27.3,11.7,78.9
2019.05,7.1,-0.2,13.2,5.7,8.7,18.4,56.7
2019.06,5.4,4.5,13.6,3.4,3.3,21.2,150.0
2019.07,2.4,5.5,0.5,-4.0,-2.9,24.7,226.5
2019.08,3.6,9.7,5.1,6.1,1.5,26.0,136.9
2019.09,-3.2,4.5,0.3,1.0,0.8,21.5,223.0
2019.10,-0.5,-6.0,-6.2,-4.3,2.1,15.5,160.5
2019.11,-4.8,-6.9,-8.2,-3.6,-4.1,8.4,57.4
2019.12,-6.9,1.0,-9.9,8.4,-10.0,2.5,26.5
2020.01,-2.0,2.5,-1.1,0.2,-6.0,2.5,83.7
2020.02,-4.4,6.1,-7.9,-11.9,-10.0,3.4,58.7
2020.03,8.2,-24.8,4.9,-11.0,1.1,7.7,29.2
2020.04,1.7,2.6,0.2,-0.2,2.4,10.6,41.0
2020.05,8.8,33.1,13.8,22.5,11.8,17.6,103.5
2020.06,-1.8,2.0,3.0,-1.6,4.1,22.7,182.9
2020.07,4.4,6.7,1.4,8.6,2.0,22.5,427.7
2020.08,-2.2,-0.8,3.3,-3.7,-1.6,26.4,420.8
2020.09,-2.3,-12.1,-2.4,-5.0,0.1,20.1,219.1
2020.10,1.7,-3.0,0.0,-2.9,4.8,13.7,10.5
2020.11,-4.5,-4.1,-6.6,-11.5,-13.5,8.5,40.8
2020.12,-4.4,-10.3,1.2,4.5,-2.7,0.4,7.8
2021.01,-1.6,-0.8,-2.4,-2.7,-2.8,-1.1,19.9
2021.02,-5.8,-5.1,-6.7,-0.6,-9.7,3.4,20.1
2021.03,16.7,12.1,9.0,7.3,18.4,8.7,110.7
2021.04,-0.6,0.8,4.3,-1.2,2.7,13.2,76.3
2021.05,3.0,12.1,6.7,20.4,3.6,16.6,143.8
2021.06,1.1,-0.3,3.1,-13.1,7.3,21.7,91.6
2021.07,2.3,1.3,7.1,2.4,-2.7,26.0,233.8
2021.08,2.1,-6.1,9.1,-9.4,-0.6,24.8,288.4
2021.09,6.0,11.5,14.1,-6.1,-0.3,21.3,145.8
2021.10,4.5,11.4,14.9,10.6,0.1,15.1,53.9
2021.11,5.9,7.9,8.8,9.7,-0.1,8.3,58.0
2021.12,8.9,21.6,8.8,11.0,4.5,1.9,7.2
2022.01,6.4,13.7,12.4,8.3,4.8,-0.8,2.6
2022.02,9.2,4.8,7.1,3.8,1.9,-0.1,3.5
2022.03,14.5,7.3,10.6,5.1,4.5,7.7,89.4
2022.04,8.9,11.1,13.6,3.1,8.2,13.8,59.4
2022.05,10.6,10.7,14.8,-1.3,12.2,18.0,5.8
2022.06,7.0,19.9,10.0,11.6,4.7,22.4,184.7
2022.07,8.7,26.4,10.1,17.3,13.0,25.9,178.4
2022.08,11.0,27.9,11.9,18.5,19.2,25.3,311.5
2022.09,7.9,14.1,11.4,9.3,18.2,21.0,150.8
2022.10,8.1,19.8,11.5,13.1,20.1,14.0,77.6
2022.11,7.8,18.8,17.6,17.6,21.1,9.6,61.6
2022.12,6.4,25.9,9.2,16.6,13.5,-1.4,15.2
2023.01,9.4,19.5,5.3,23.7,14.6,-0.6,40.5
2023.02,6.0,16.7,11.0,14.0,24.3,2.5,15.2
2023.03,0.3,16.3,15.3,15.9,27.6,9.4,28.7
2023.04,4.3,17.8,9.5,24.1,22.5,13.1,66.3
2023.05,6.2,10.4,9.7,19.6,18.4,17.9,193.4
2023.06,7.3,4.4,11.5,15.4,19.6,22.3,210.0
2023.07,5.8,5.3,6.3,16.5,11.1,25.5,506.1
2023.08,4.9,-1.0,9.9,8.2,11.7,26.4,299.6
2023.09,5.3,8.5,9.9,16.3,13.8,22.6,197.3
2023.10,6.3,4.3,6.5,7.0,11.1,14.7,17.0
2023.11,3.6,6.4,3.3,8.9,10.4,7.9,63.4
2023.12,5.2,6.5,8.6,7.8,9.9,2.4,102.9
