지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
108,서울,2020-01-01 01:00,-5.9,,1.7,40,
108,서울,2020-01-01 02:00,-5.7,,.1,42,
108,서울,2020-01-01 03:00,-5.6,0,0,46,
108,서울,2020-01-01 04:00,-5.4,,0,50,
108,서울,2020-01-01 05:00,-5.2,,0,55,
108,서울,2020-01-01 06:00,-4.8,0,1.9,58,
108,서울,2020-01-01 07:00,-4.6,,2.1,62,
108,서울,2020-01-01 08:00,-4.6,,1.8,64,
108,서울,2020-01-01 09:00,-4.3,0,2.3,70,
108,서울,2020-01-01 10:00,-4.2,,1.9,76,
108,서울,2020-01-01 11:00,-3.4,,1.5,75,0
108,서울,2020-01-01 12:00,-2.2,.1,1.7,72,
108,서울,2020-01-01 13:00,-1,,1.6,67,
108,서울,2020-01-01 14:00,-.4,,1.2,65,
108,서울,2020-01-01 15:00,.3,,0,62,
108,서울,2020-01-01 16:00,.3,,0,64,
108,서울,2020-01-01 17:00,.2,,.9,65,
108,서울,2020-01-01 18:00,.1,,.8,66,
108,서울,2020-01-01 19:00,.1,,.3,65,
108,서울,2020-01-01 20:00,0,,1.7,67,
108,서울,2020-01-01 21:00,-.4,,2.5,71,
108,서울,2020-01-01 22:00,-.9,,1.5,71,
108,서울,2020-01-01 23:00,-.9,,1,70,
108,서울,2020-01-02 00:00,-.7,,2.1,70,
